               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.032214,            0.020234,          0.00052733,             0.77684,             0.88241,             0.89006,             0.55482,            0.025531,            0.011037,           9.095e-05,            0.001486,            0.001486,            0.001486
                  88,             0.03232,            0.020414,          0.00065072,             0.76016,             0.88155,             0.87331,             0.55336,            0.025326,             0.01089,          9.4563e-05,            0.001387,            0.001387,            0.001387
                  89,            0.032321,            0.020332,          0.00053084,               0.808,             0.81611,             0.87352,             0.56547,            0.025087,            0.010715,          8.8077e-05,            0.001288,            0.001288,            0.001288
                  90,            0.032119,            0.020244,          0.00061361,             0.85338,             0.81174,             0.88269,             0.56683,            0.025028,            0.010663,          8.9496e-05,            0.001189,            0.001189,            0.001189
                  91,            0.031923,            0.019965,          0.00052184,             0.85203,             0.80713,              0.8787,             0.57563,            0.024625,            0.010683,          9.5077e-05,             0.00109,             0.00109,             0.00109
                  92,            0.031845,            0.020064,          0.00052097,             0.83316,             0.85706,             0.89583,             0.57011,            0.024691,            0.010566,          8.9281e-05,            0.000991,            0.000991,            0.000991
                  93,            0.031911,              0.0198,          0.00049674,             0.83934,             0.85706,             0.89913,             0.57447,            0.024831,            0.010561,          8.8471e-05,            0.000892,            0.000892,            0.000892
                  94,            0.031687,            0.020098,          0.00036501,             0.83185,             0.88586,             0.89088,             0.58606,            0.024704,             0.01056,          8.0249e-05,            0.000793,            0.000793,            0.000793
                  95,            0.031708,            0.019822,           0.0005056,             0.86838,             0.86081,             0.90645,             0.58907,            0.024737,            0.010334,          8.0044e-05,            0.000694,            0.000694,            0.000694
                  96,            0.031453,            0.019773,          0.00047105,             0.86282,             0.86576,              0.9094,             0.59286,            0.024536,            0.010344,          7.7198e-05,            0.000595,            0.000595,            0.000595
                  97,              0.0314,            0.019624,          0.00047579,             0.84207,             0.85601,             0.90892,             0.58445,            0.024552,            0.010351,          7.2965e-05,            0.000496,            0.000496,            0.000496
                  98,            0.031205,            0.019726,          0.00053775,             0.87698,             0.83848,             0.90649,              0.5881,             0.02444,            0.010306,          7.3544e-05,            0.000397,            0.000397,            0.000397
                  99,            0.031156,            0.019583,          0.00041636,              0.8581,             0.84427,             0.90634,             0.59016,            0.024649,            0.010258,           7.459e-05,            0.000298,            0.000298,            0.000298
